Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.62837555080255, 2.5695835482364613;"{""coordinates"": [2.569583548236461, 48.62837555080255], ""type"": ""Point""}";468.0;Lieusaint-Moissy;Lieusaint-Moissy;;;62412.0;Lieusaint - Moissy;47669.0;Lieusaint - Moissy;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;668280.5751999989;6836551.855900001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Lieusaint-Moissy
48.80204937940299, 2.4264824084840475;"{""coordinates"": [2.426482408484048, 48.80204937940299], ""type"": ""Point""}";498.0;Maisons-Alfort-Alfortville;Maisons-Alfort-Alfortville;;;73625.0;Maisons-Alfort - Alfortville;43154.0;Maisons-Alfort - Alfortville;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;657875.1827000007;6855927.6603000015;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Maisons-Alfort-Alfortville
48.636351366180676, 2.4077962861739053;"{""coordinates"": [2.407796286173905, 48.636351366180676], ""type"": ""Point""}";609.0;Orangis-Bois de l'Epine;Orangis-Bois de l'Epine;;;60542.0;Orangis Bois de l'Épine;48489.0;Orangis Bois de l'Épine;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;656364.5494000018;6837515.734499998;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Orangis-Bois de l'Epine
48.70823782766052, 2.462282244689792;"{""coordinates"": [2.462282244689792, 48.70823782766052], ""type"": ""Point""}";556.0;Montgeron-Crosne;Montgeron-Crosne;;;63072.0;Montgeron - Crosne;47684.0;Montgeron - Crosne;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;660433.6070000008;6845478.957800001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Montgeron-Crosne
49.12620995973848, 2.507013841603866;"{""coordinates"": [2.507013841603866, 49.12620995973848], ""type"": ""Point""}";958.0;La Borne Blanche;La Borne Blanche;;;411419.0;La Borne Blanche;411418.0;La Borne Blanche;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;0.0;0.0;664015.1872999966;6891935.659600001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;La Borne Blanche
48.9637554286997, 2.3721031384025686;"{""coordinates"": [2.372103138402569, 48.9637554286997], ""type"": ""Point""}";643.0;Pierrefitte Stains;Pierrefitte Stains;;;72787.0;Pierrefitte - Stains;43179.0;Pierrefitte - Stains;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;654024.0938000008;6873938.8178;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Pierrefitte Stains
48.681016615421555, 2.5331306565710374;"{""coordinates"": [2.533130656571037, 48.681016615421555], ""type"": ""Point""}";105.0;Boussy-Saint-Antoine;Boussy-Saint-Antoine;;;62596.0;Boussy-Saint-Antoine;47924.0;Boussy-Saint-Antoine;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;665628.8215999976;6842419.4146;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Boussy-Saint-Antoine
48.529746917655004, 2.572073662735743;"{""coordinates"": [2.572073662735743, 48.529746917655004], ""type"": ""Point""}";85.0;Boissise-le-Roi;Boissise-le-Roi;;;61943.0;Boissise-le-Roi;45763.0;Boissise-le-Roi;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;668404.6618999988;6825586.6129;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Boissise-le-Roi
48.97674784737337, 2.3905936526418374;"{""coordinates"": [2.390593652641837, 48.97674784737337], ""type"": ""Point""}";322.0;Garges-Sarcelles;Garges-Sarcelles;;;65582.0;Garges - Sarcelles;43251.0;Garges - Sarcelles;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;655389.130900003;6875373.010200001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Garges-Sarcelles
48.843772575930615, 2.3739164698064985;"{""coordinates"": [2.373916469806499, 48.843772575930615], ""type"": ""Point""}";307.0;Gare de Lyon;Gare de Lyon;;;73626.0;Gare de Lyon;470195.0;Gare de Lyon;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;1.0;654051.0803999975;6860596.114;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Gare de Lyon
